rank,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category
1,174430,Gloomhaven,1,4,120,60,120,2017,8.98893,8.61858,15376,12,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers",25928,"Adventure, Exploration, Fantasy, Fighting, Miniatures"
2,161936,Pandemic Legacy: Season 1,2,4,60,60,60,2015,8.6614,8.50163,26063,13,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",41605,"Environmental, Medical"
3,182028,Through the Ages: A New Story of Civilization,2,4,240,180,240,2015,8.60673,8.30183,12352,14,"Action Point Allowance System, Auction/Bidding, Card Drafting",15848,"Card Game, Civilization, Economic"
4,167791,Terraforming Mars,1,5,120,120,120,2016,8.38461,8.19914,26004,12,"Card Drafting, Hand Management, Set Collection, Tile Placement, Variable Player Powers",33340,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building"
5,12333,Twilight Struggle,2,2,180,120,180,2005,8.33954,8.19787,31301,13,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection",42952,"Modern Warfare, Political, Wargame"
6,187645,Star Wars: Rebellion,2,4,240,180,240,2016,8.47439,8.16545,13336,14,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Partnerships, Variable Player Powers",20682,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame"
7,169786,Scythe,1,5,115,90,115,2016,8.29158,8.108,29219,14,"Area Control / Area Influence, Grid Movement, Simultaneous Action Selection, Variable Player Powers",38279,"Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building"
8,120677,Terra Mystica,2,5,150,60,150,2012,8.23703,8.09296,29309,12,"Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers",32637,"Civilization, Economic, Fantasy, Territory Building"
9,193738,Great Western Trail,2,4,150,75,150,2016,8.28574,8.04047,13521,12,"Deck / Pool Building, Hand Management, Point to Point Movement",16869,American West
10,180263,The 7th Continent,1,4,1000,5,1000,2017,8.67228,8.02458,6057,14,"Co-operative Play, Grid Movement, Hand Management, Modular Board, Storytelling, Variable Player Powers",12543,"Adventure, Card Game, Exploration, Horror, Science Fiction"
11,220308,Gaia Project,1,4,150,60,150,2017,8.68217,8.00732,4860,12,"Modular Board, Route/Network Building, Variable Player Powers",6243,"Civilization, Economic, Science Fiction, Territory Building"
12,84876,The Castles of Burgundy,2,4,90,30,90,2011,8.12383,8.00679,31613,12,"Dice Rolling, Set Collection, Tile Placement, Variable Phase Order",43992,"Dice, Medieval, Territory Building"
13,173346,7 Wonders Duel,2,2,30,30,30,2015,8.14559,8.00627,32165,10,"Card Drafting, Set Collection",49800,"Ancient, Card Game, City Building, Civilization"
14,115746,War of the Ring (Second Edition),2,4,180,150,180,2012,8.37781,7.98727,8217,13,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",13216,"Adventure, Fantasy, Fighting, Miniatures, Novel-based, Territory Building, Wargame"
15,102794,Caverna: The Cave Farmers,1,7,210,30,210,2013,8.1177,7.95343,21145,12,"Tile Placement, Worker Placement",26974,"Animals, Economic, Fantasy, Farming"
16,3076,Puerto Rico,2,5,150,90,150,2002,8.06034,7.94839,52849,12,Variable Phase Order,61011,"City Building, Economic, Farming"
17,31260,Agricola,1,5,150,30,150,2007,8.02172,7.92319,53481,12,"Area Enclosure, Card Drafting, Hand Management, Variable Player Powers, Worker Placement",64468,"Animals, Economic, Farming"
18,96848,Mage Knight Board Game,1,4,240,60,240,2011,8.11816,7.91554,21524,14,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers",31976,"Adventure, Exploration, Fantasy, Fighting"
19,183394,Viticulture Essential Edition,1,6,90,45,90,2015,8.17385,7.91061,12037,13,"Hand Management, Variable Phase Order, Worker Placement",16732,"Economic, Farming"
20,205637,Arkham Horror: The Card Game,1,2,120,60,120,2016,8.2564,7.90793,12047,14,"Action Point Allowance System, Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers",22612,"Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based"
21,205059,Mansions of Madness: Second Edition,1,5,180,120,180,2016,8.20129,7.88669,12396,14,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Role Playing, Variable Player Powers",19680,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle"
22,124361,Concordia,2,5,100,100,100,2013,8.07072,7.88377,15266,13,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement",17797,"Ancient, Economic, Nautical"
23,170216,Blood Rage,2,4,90,60,90,2015,8.07481,7.88092,20998,14,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",26099,"Fantasy, Fighting, Miniatures, Mythology"
24,209010,Mechs vs. Minions,2,4,90,60,90,2016,8.21731,7.86875,9195,14,"Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers",14532,"Fantasy, Fighting, Miniatures, Video Game Theme"
